"weight","sex","hindfoot_length","species_id"
51,"M",33,"DO"
44,"F",37,"DM"
48,"M",38,"DO"
44,"M",38,"DM"
48,"F",35,"DM"
53,"M",38,"DM"
47,"M",38,"DO"
18,"F",22,"PP"
25,"M",22,"OT"
157,"M",32,"NL"
44,"F",35,"DM"
24,"F",34,"DM"
,,,"AH"
33,"F",35,"DO"
45,"F",38,"DM"
42,"M",35,"DO"
129,"F",54,"DS"
130,"F",50,"DS"
150,"F",51,"DS"
140,"F",49,"DS"
49,"M",36,"DM"
43,"M",36,"DM"
49,"M",37,"DM"
54,"F",36,"DO"
50,"F",36,"DO"
18,"M",33,"DM"
54,"F",36,"DO"
49,"F",35,"DM"
42,"F",36,"DM"
45,"F",36,"DM"
28,"M",25,"PP"
44,"M",37,"DO"
15,"F",22,"PP"
121,"F",50,"DS"
38,"F",35,"DM"
98,"F",50,"DS"
29,"M",20,"OT"
39,"F",35,"DM"
106,"F",31,"NL"
46,"F",34,"DM"
47,"M",35,"DM"
46,"F",36,"DM"
22,"M",20,"OT"
49,"M",36,"DM"
17,"M",20,"PP"
41,"F",35,"DM"
46,"M",35,"DM"
32,"M",21,"OL"
39,"F",34,"DM"
,"M",36,"DO"
50,"M",37,"DM"
44,"F",36,"DM"
16,"F",21,"PP"
56,"M",38,"DM"
17,"F",22,"PP"
38,"F",20,"OL"
57,"M",35,"DO"
54,"M",38,"DM"
155,"M",31,"NL"
46,"M",36,"DM"
40,"F",34,"DM"
50,"M",37,"DM"
41,"F",33,"DM"
24,"M",21,"OT"
51,"M",35,"DO"
36,"F",34,"DM"
20,"F",33,"DM"
26,"F",22,"OT"
38,"F",37,"DM"
43,"F",35,"DM"
48,"M",37,"DM"
17,"M",23,"PP"
40,"F",35,"DM"
22,"M",32,"DM"
53,"M",38,"DM"
30,"M",26,"PH"
44,"F",38,"DM"
,,,"DM"
162,"F",30,"NL"
,"M",37,"DM"
59,"M",36,"DO"
38,"M",34,"DM"
,,,"SA"
,,,"AB"
34,"M",34,"DM"
54,"M",35,"DO"
46,"M",36,"DM"
34,"M",20,"OL"
20,"M",21,"PP"
48,"M",35,"DM"
,,,"SS"
126,"F",48,"DS"
11,"M",16,"RM"
168,"F",33,"NL"
22,"M",19,"PE"
,,,
,,,
46,"F",38,"DM"
,,,"NL"
53,"M",38,"DM"
44,"F",33,"DO"
49,"M",34,"DO"
46,"F",37,"DM"
36,"F",33,"DM"
,"M",34,"DO"
37,"M",22,"OL"
136,"M",50,"DS"
18,"M",19,"PE"
16,"M",23,"PP"
15,"M",22,"PP"
28,"F",19,"OT"
37,"F",33,"DO"
130,"F",48,"DS"
40,"M",36,"DM"
24,"M",19,"OT"
39,"M",36,"DM"
50,"F",36,"DO"
43,"M",36,"DM"
28,"F",19,"PE"
42,"F",36,"DM"
59,"F",37,"DM"
135,"F",53,"DS"
41,"F",33,"DM"
48,"F",36,"DM"
53,"M",37,"DM"
48,"M",36,"DM"
46,"M",37,"DM"
38,"F",20,"PE"
54,"F",38,"DO"
,"F",52,"DS"
42,"M",34,"DM"
43,"F",37,"DM"
52,"M",37,"DM"
47,"M",36,"DO"
52,"M",38,"DM"
52,"M",36,"DM"
117,"F",51,"DS"
10,"F",12,"RM"
43,"F",35,"DM"
49,"M",35,"DM"
,"F",22,"PP"
25,"M",21,"OT"
28,"M",21,"OL"
40,"M",37,"DO"
50,"M",37,"DM"
22,"M",21,"OT"
16,"F",22,"PP"
125,"F",,"DS"
44,"F",37,"DM"
152,"M",53,"DS"
46,"M",37,"DM"
40,"F",34,"DM"
50,"F",34,"DM"
20,"M",20,"PE"
36,"M",19,"OL"
23,"M",21,"OT"
49,"M",37,"DM"
49,"F",34,"DO"
19,"M",20,"PE"
24,"F",21,"PE"
51,"M",37,"DM"
46,"M",38,"DM"
178,"M",32,"NL"
50,"M",35,"DO"
9,"M",21,"PP"
42,"M",34,"DM"
44,"F",38,"DM"
15,"F",21,"PP"
40,"F",37,"DM"
,"M",37,"DM"
36,"F",37,"DM"
29,"M",20,"OL"
42,"F",20,"OL"
39,"M",37,"DO"
21,"M",21,"PM"
13,"F",17,"RM"
40,"F",39,"DM"
22,"M",19,"OT"
40,"F",37,"DM"
26,"F",21,"OT"
40,"F",35,"DM"
119,"F",31,"NL"
55,"M",35,"DO"
23,"F",33,"DM"
48,"M",38,"DM"
42,"M",37,"DM"
46,"M",37,"DM"
23,"F",21,"OT"
42,"F",37,"DM"
37,"M",22,"OL"
37,"F",37,"DM"
50,"M",35,"DO"
28,"M",21,"OL"
20,"M",20,"OL"
47,"M",36,"DM"
11,"M",17,"RM"
41,"F",34,"DM"
39,"M",36,"DM"
,"M",35,"DO"
49,"M",37,"DM"
122,"F",50,"DS"
162,"F",32,"NL"
18,"M",19,"PE"
,,,
,,,
102,"F",48,"DS"
45,"F",35,"DO"
39,"M",38,"DM"
13,"F",16,"RM"
,"M",36,"DM"
57,"M",37,"DM"
36,"M",35,"DM"
48,"M",36,"DO"
47,"F",36,"DM"
18,"M",19,"PE"
58,"F",33,"DO"
59,"M",35,"DO"
42,"M",37,"DM"
44,"M",37,"DM"
123,"F",50,"DS"
,,,"DM"
49,"F",36,"DO"
38,"M",37,"DM"
32,,36,"DM"
46,"F",37,"DO"
19,"M",19,"PE"
,"M",32,"DO"
48,"F",37,"DM"
45,"M",37,"DM"
25,"F",21,"OL"
18,"M",20,"PE"
136,"F",,"DS"
,"F",37,"DO"
42,"F",35,"DO"
41,"F",37,"DM"
119,"M",49,"DS"
26,"F",21,"OT"
145,"F",51,"DS"
40,"F",37,"DM"
48,"M",36,"DM"
138,"F",51,"DS"
136,"F",31,"NL"
51,"M",36,"DO"
50,"M",38,"DM"
25,"F",19,"PE"
37,"M",20,"OL"
125,"F",49,"DS"
44,"F",39,"DM"
42,"F",37,"DM"
30,"M",19,"OT"
152,"M",52,"DS"
26,"F",20,"OL"
45,"M",36,"DM"
,,,"SS"
28,"F",19,"OL"
44,"F",36,"DM"
40,"F",35,"DM"
128,"M",49,"DS"
,"M",,"DO"
35,"M",22,"OL"
45,"M",37,"DM"
47,"M",38,"DM"
41,"F",39,"DM"
35,"M",21,"OL"
28,"M",21,"OT"
123,"F",51,"DS"
51,"M",38,"DM"
148,"F",33,"NL"
42,"F",38,"DM"
52,"F",38,"DO"
32,"M",35,"DM"
20,"F",19,"OT"
41,"M",38,"DM"
35,"M",20,"OL"
26,"F",21,"OT"
42,"F",35,"DM"
21,"M",20,"PE"
19,"M",20,"PE"
122,"M",45,"DS"
52,"M",38,"DM"
192,"M",32,"NL"
,,,"AB"
17,"M",20,"OT"
19,"M",20,"PE"
48,"M",40,"DM"
9,"M",16,"RM"
46,"M",36,"DO"
41,"M",38,"DM"
,,,"AB"
38,"F",37,"DM"
43,"F",38,"DM"
,"M",36,"DO"
36,"F",37,"DM"
,,,"AB"
30,"M",20,"OL"
43,"M",38,"DM"
39,"F",36,"DM"
,,,"SS"
,,,"DM"
14,"F",16,"RM"
25,"F",20,"OT"
46,"M",38,"DM"
46,"M",39,"DM"
39,"F",38,"DM"
39,"F",35,"DM"
,,,"DM"
,"M",,"DO"
48,"M",35,"DM"
21,"F",20,"OT"
37,"F",37,"DM"
50,"M",37,"DO"
129,"F",33,"NL"
39,"F",37,"DM"
42,"F",38,"DM"
51,"M",36,"DO"
38,"F",36,"DM"
52,"M",38,"DM"
118,"F",51,"DS"
40,"F",35,"DM"
50,"M",35,"DO"
38,"F",38,"DM"
41,"M",37,"DM"
40,"M",35,"DM"
34,"M",25,"PH"
,,,"SS"
168,"F",32,"NL"
50,"F",35,"DO"
16,"M",18,"OT"
,,,
,,,
43,"F",37,"DM"
43,"M",38,"DM"
146,"F",30,"NL"
46,"M",34,"DM"
12,"F",21,"PP"
37,"M",34,"DM"
43,"F",37,"DM"
41,"M",38,"DM"
19,"M",19,"PE"
37,"M",36,"DM"
34,"M",21,"OL"
44,"M",37,"DM"
20,"F",20,"PE"
,,,"DM"
53,"M",38,"DM"
46,"M",35,"DO"
25,"M",20,"OT"
48,"M",35,"DO"
41,"M",35,"DM"
53,"M",35,"DO"
142,"M",55,"DS"
42,"M",37,"DM"
22,"F",19,"OT"
47,"M",38,"DM"
51,"F",28,"DO"
108,"F",49,"DS"
132,"F",50,"DS"
54,"M",37,"DO"
,,,"AH"
43,"M",35,"DM"
10,"F",17,"RM"
42,"M",35,"DM"
132,"M",50,"DS"
41,"M",37,"DM"
43,"M",38,"DM"
42,"M",38,"DM"
120,"F",49,"DS"
30,"F",21,"OL"
43,"M",36,"DM"
40,"M",36,"DM"
46,"M",38,"DM"
39,"F",34,"DM"
126,"F",50,"DS"
43,"F",37,"DM"
11,"F",18,"RM"
59,"M",37,"DO"
43,"M",37,"DM"
19,"M",19,"PE"
9,"F",16,"RM"
44,"F",38,"DM"
41,"F",38,"DM"
46,"F",37,"DM"
45,"M",35,"DO"
11,"F",16,"RM"
30,"M",19,"OL"
41,"F",37,"DM"
50,"M",35,"DO"
,"F",37,"DM"
130,"M",49,"DS"
40,"F",36,"DM"
17,"M",19,"PE"
125,"M",52,"DS"
46,"M",37,"DM"
29,"F",21,"OL"
47,"M",37,"DM"
8,"M",17,"RM"
32,"M",22,"OL"
21,"F",21,"OT"
120,"F",,"DS"
21,"F",20,"OT"
40,"F",37,"DM"
20,"M",21,"PE"
22,"F",19,"PE"
38,"F",33,"DM"
38,"M",38,"DM"
,"M",36,"DO"
55,"F",37,"DO"
44,"M",37,"DM"
20,"F",19,"PE"
37,"M",20,"OL"
39,"F",36,"DM"
126,"M",,"DS"
48,"M",35,"DM"
,,,"AB"
19,"M",19,"PE"
36,"F",35,"DM"
37,"M",37,"DM"
47,"M",33,"DM"
42,"F",36,"DM"
,,,"AH"
30,"M",20,"OL"
40,"F",35,"DM"
46,"M",35,"DM"
10,"F",16,"RM"
13,"F",16,"RM"
23,"M",22,"OT"
39,"F",37,"DM"
45,"M",38,"DM"
46,"M",38,"DM"
38,"F",36,"DM"
7,"F",16,"RM"
,"M",,"DO"
23,"M",22,"OT"
19,"M",20,"PE"
19,"F",21,"OT"
48,"M",37,"DM"
,"M",38,"DO"
46,"M",35,"DM"
26,"F",20,"OT"
39,"F",34,"DM"
51,"M",34,"DO"
9,"F",16,"RM"
45,"M",37,"DM"
34,"M",23,"OL"
42,"M",37,"DM"
18,"M",21,"OT"
38,"F",36,"DM"
52,"M",37,"DM"
,,,"AB"
51,"M",35,"DO"
38,"F",37,"DM"
13,"F",20,"PE"
53,"M",36,"DO"
174,"F",32,"NL"
22,"F",21,"OT"
10,"M",16,"RM"
9,"F",17,"RM"
20,"M",22,"OL"
51,"M",33,"DM"
34,"M",26,"PH"
9,"F",18,"RM"
40,"F",36,"DM"
43,"F",37,"DM"
8,"M",18,"RM"
24,"F",20,"OT"
43,"M",36,"DM"
44,"M",37,"DM"
32,"F",20,"OL"
47,"M",37,"DM"
150,"F",30,"NL"
51,"M",37,"DM"
44,"F",35,"DM"
126,"F",49,"DS"
37,"M",35,"DM"
44,"F",36,"DM"
,,,"AH"
37,"M",35,"DM"
11,"F",18,"RM"
25,"M",21,"OT"
39,"F",37,"DM"
42,"M",38,"DM"
47,"M",36,"DO"
26,"F",20,"PE"
54,"M",35,"DO"
41,"M",37,"DM"
9,"F",15,"RM"
42,"F",34,"DM"
148,"M",50,"DS"
45,"M",38,"DM"
47,"F",37,"DO"
10,"F",16,"RM"
40,"M",36,"DM"
225,"M",33,"NL"
43,"M",35,"DM"
9,"M",17,"RM"
130,"F",51,"DS"
155,"M",51,"DS"
,"M",35,"DO"
6,"F",17,"RM"
153,"M",52,"DS"
55,"M",36,"DO"
42,"M",38,"DM"
43,"M",38,"DM"
40,"F",39,"DM"
42,"M",38,"DM"
48,"M",36,"DM"
,"F",37,"DO"
45,"M",36,"DM"
50,"M",35,"DO"
50,"M",36,"DM"
48,"F",37,"DO"
22,"F",19,"PE"
38,"F",36,"DM"
39,"M",35,"DM"
30,"M",20,"OL"
44,"F",37,"DM"
129,"M",45,"DS"
42,"F",38,"DM"
,,,"AB"
29,"M",21,"OL"
39,"F",35,"DM"
19,"F",17,"PE"
16,"F",22,"PP"
56,"M",37,"DO"
38,"F",38,"DM"
19,"M",18,"PE"
120,"F",50,"DS"
52,"F",37,"DO"
40,"F",35,"DM"
45,"M",37,"DM"
121,,,"DS"
,,,"AH"
44,"F",37,"DM"
160,"F",32,"NL"
9,"M",17,"RM"
34,"M",24,"OL"
39,"F",36,"DM"
41,"F",38,"DM"
56,"F",37,"DO"
,,,"AH"
,,,"AB"
40,"M",36,"DM"
49,"M",37,"DM"
18,"M",20,"PE"
47,"M",38,"DM"
,,,
119,"M",45,"DS"
56,"F",35,"DO"
11,"F",15,"RM"
9,"M",16,"RM"
170,"F",31,"NL"
52,"F",37,"DM"
48,"M",38,"DM"
10,"F",,"RM"
46,"M",37,"DM"
10,"F",15,"RM"
38,"F",35,"DM"
26,"M",21,"OT"
130,"M",51,"DS"
52,"F",36,"DO"
48,"F",36,"DM"
,,,"DO"
37,"M",21,"OL"
31,"F",19,"OL"
25,"F",20,"PE"
39,"F",38,"DM"
47,"M",37,"DM"
,"M",,"DO"
34,"M",21,"OL"
46,"M",37,"DM"
41,"F",37,"DM"
43,"F",38,"DM"
53,"M",35,"DO"
49,"M",,"DO"
45,"M",38,"DM"
,,,"OL"
49,"M",38,"DM"
39,"F",37,"DM"
23,"F",21,"OT"
51,"F",37,"DO"
27,"F",20,"OL"
54,"M",38,"DO"
51,"M",37,"DM"
188,"F",33,"NL"
,,,"SS"
23,"M",20,"OT"
19,"M",19,"PE"
52,"M",39,"DM"
37,"F",38,"DM"
45,"M",37,"DM"
9,"M",15,"RM"
53,"M",38,"DM"
48,"F",37,"DM"
37,"F",38,"DM"
59,"M",37,"DO"
49,"M",38,"DM"
55,"M",37,"DO"
20,"M",19,"PE"
39,"M",27,"PH"
185,,,"NL"
12,"M",51,"DS"
10,"F",16,"RM"
44,"M",38,"DM"
,,,"PP"
44,,36,"DO"
126,"M",50,"DS"
42,"M",37,"DM"
52,"M",35,"DO"
,"M",51,"DS"
40,"F",37,"DM"
45,"M",36,"DM"
15,"M",22,"PP"
131,"F",50,"DS"
54,"M",36,"DO"
48,"M",38,"DM"
47,"M",38,"DM"
46,"M",39,"DM"
7,"F",16,"RM"
116,"F",49,"DS"
,,,"AB"
173,"F",30,"NL"
156,"M",53,"DS"
48,"M",36,"DM"
49,"F",36,"DM"
44,"F",36,"DM"
48,"M",37,"DM"
68,"F",37,"DO"
11,"F",17,"RM"
9,"M",16,"RM"
38,"M",19,"OL"
,,,"DS"
130,"M",47,"DS"
10,"M",18,"RM"
19,"M",19,"PE"
38,"F",36,"DM"
56,"F",38,"DO"
19,"M",20,"PE"
46,"M",37,"DM"
124,"F",51,"DS"
41,"F",36,"DM"
131,"F",50,"DS"
42,"F",37,"DM"
147,"M",52,"DS"
10,"F",16,"RM"
43,"F",38,"DM"
50,"M",37,"DM"
51,"M",38,"DM"
240,"M",34,"NL"
45,"M",36,"DM"
10,"M",17,"RM"
134,"F",51,"DS"
,,,"SS"
43,"M",37,"DM"
47,"M",36,"DM"
24,"F",20,"PE"
22,"F",20,"PE"
40,"F",35,"DM"
12,"F",17,"RM"
,,,
49,"M",34,"DO"
,,,"AB"
52,"M",,"DM"
43,"F",36,"DM"
55,"F",36,"DO"
18,"M",19,"PM"
39,"F",37,"DM"
120,"M",48,"DS"
45,"M",36,"DM"
48,"F",35,"DM"
10,"M",15,"RM"
10,"M",16,"RM"
40,"F",35,"DM"
57,"F",36,"DO"
52,"M",38,"DM"
180,"F",33,"NL"
52,"M",36,"DM"
21,"M",19,"PE"
,,,"SS"
30,"M",35,"DM"
42,"M",38,"DM"
38,"M",21,"OL"
47,"M",35,"DM"
48,"M",36,"DM"
53,"M",36,"DO"
27,"F",20,"OL"
192,"F",33,"NL"
43,"F",34,"DM"
99,"M",31,"NL"
54,"M",38,"DM"
46,"F",36,"DM"
42,"M",36,"DM"
27,"F",20,"PE"
125,"M",49,"DS"
17,"M",22,"PP"
,,,
,,,
53,"M",39,"DM"
47,"M",37,"DM"
120,"M",52,"DS"
130,"F",47,"DS"
57,"F",32,"DO"
41,"M",35,"DM"
150,"M",54,"DS"
26,"F",22,"PM"
58,"M",35,"DO"
42,"M",37,"DM"
42,"F",37,"DM"
,,,"AH"
,,,"RM"
26,"M",34,"DM"
42,"F",36,"DM"
39,"M",21,"OL"
74,"F",48,"DS"
176,"F",30,"NL"
34,"F",20,"OL"
50,"M",34,"DO"
102,,,"NL"
157,"M",53,"DS"
125,"F",49,"DS"
52,"M",35,"DM"
46,"M",35,"DM"
48,"M",37,"DM"
22,"F",37,"DM"
42,"M",36,"DM"
41,"M",21,"OL"
54,"F",37,"DO"
49,"F",35,"DM"
49,"M",39,"DM"
135,"F",52,"DS"
49,"M",37,"DM"
,,,"DX"
,"F",,"RM"
125,"F",49,"DS"
43,"F",36,"DM"
45,"M",36,"DM"
129,"M",49,"DS"
24,"M",34,"DO"
124,"F",49,"DS"
52,"F",35,"DM"
44,"M",38,"DM"
52,"M",38,"DM"
19,"F",22,"PP"
15,"M",19,"OT"
51,"M",36,"DO"
125,"F",52,"DS"
26,"F",34,"DO"
45,"M",35,"DM"
49,"F",36,"DM"
42,"M",36,"DM"
40,"F",34,"DM"
26,"F",33,"DM"
17,"M",22,"PP"
45,"F",36,"DM"
46,"M",35,"DM"
91,"F",29,"NL"
45,"M",37,"DM"
44,"M",37,"DM"
39,"F",37,"DM"
29,"F",20,"PE"
98,"F",31,"NL"
26,"F",21,"PE"
44,"F",35,"DM"
39,"F",36,"DM"
118,"M",46,"DS"
10,"M",17,"RM"
205,"F",31,"NL"
18,"M",20,"PM"
,,,"AB"
48,"M",36,"DO"
39,"F",34,"DM"
33,"F",21,"OT"
21,"F",20,"PM"
26,"F",35,"DM"
52,"M",39,"DM"
50,"M",39,"DM"
37,"M",37,"DM"
50,"F",36,"DM"
11,"M",18,"RM"
46,"M",32,"DO"
13,"F",16,"RM"
26,"M",21,"OT"
16,"F",20,"PP"
50,"M",37,"DM"
22,"F",20,"PM"
13,"F",16,"RM"
37,"F",36,"DM"
29,"F",21,"OL"
52,"M",32,"DO"
52,"M",37,"DO"
50,"M",38,"DM"
33,"F",21,"OL"
180,"F",32,"NL"
53,"M",34,"DO"
,,,"PE"
,"F",,"NL"
42,"F",38,"DM"
45,"F",35,"DM"
46,"M",38,"DM"
42,"M",35,"DM"
21,"M",21,"PE"
,"F",,"RM"
23,"M",20,"PE"
43,"F",36,"DM"
23,"M",21,"PE"
15,"F",21,"PM"
,,,"AB"
114,"F",51,"DS"
44,"M",37,"DM"
11,"M",16,"RM"
50,"F",37,"DM"
115,"M",49,"DS"
144,"M",52,"DS"
123,"M",32,"NL"
,"F",,"RM"
163,"F",31,"NL"
59,"M",35,"DO"
82,"F",31,"NL"
134,"F",47,"DS"
138,"M",31,"NL"
43,"F",35,"DM"
,"M",39,"DM"
45,"F",37,"DM"
46,"M",37,"DM"
128,"F",52,"DS"
50,"M",36,"DO"
,,,"AH"
121,"F",48,"DS"
46,"M",37,"DM"
52,"M",37,"DM"
43,"M",37,"DM"
19,"F",23,"PP"
20,"M",20,"PM"
37,"M",38,"DM"
43,"F",34,"DM"
84,"F",49,"DS"
129,"M",49,"DS"
21,"M",20,"PE"
103,"F",49,"DS"
43,"F",37,"DM"
21,"M",21,"OT"
152,"M",52,"DS"
38,"M",37,"DO"
,"M",36,"DM"
44,"M",36,"DM"
,,,"AH"
123,"F",50,"DS"
39,"F",37,"DO"
198,"M",33,"NL"
45,"M",37,"DM"
,,,"SA"
47,"F",37,"DM"
9,"F",17,"OT"
24,"F",34,"DM"
46,"M",34,"DM"
,"F",34,"DM"
7,"F",17,"RM"
20,"M",18,"PE"
47,"M",36,"DM"
,,,
9,"M",15,"RM"
18,"F",17,"RM"
138,"F",35,"NL"
49,"M",38,"DM"
32,"F",37,"DM"
50,"M",37,"DM"
26,"F",21,"PM"
38,"F",37,"DM"
185,"F",32,"NL"
119,"M",49,"DS"
41,"F",35,"DM"
42,"F",35,"DM"
19,"M",21,"OT"
35,"M",36,"DM"
19,"M",20,"PM"
52,"F",37,"DO"
61,"F",36,"DO"
40,"F",36,"DM"
27,"F",21,"OT"
68,"F",27,"NL"
36,"F",19,"OL"
24,"F",36,"DM"
50,"M",38,"DM"
55,"M",37,"DO"
44,"F",37,"DM"
,"F",,"NL"
98,"F",32,"NL"
23,"F",21,"PE"
19,"F",20,"OT"
36,"F",36,"DM"
23,"F",21,"PM"
26,"M",34,"DM"
52,"M",39,"DM"
43,"M",37,"DM"
183,"F",33,"NL"
24,"F",21,"PM"
43,"M",37,"DM"
45,"F",36,"DO"
41,"F",37,"DM"
46,"M",37,"DM"
182,"F",33,"NL"
40,"F",35,"DM"
,,,
47,"M",37,"DM"
44,"F",38,"DM"
174,"F",32,"NL"
18,"F",22,"PP"
52,"M",36,"DO"
58,"F",35,"DO"
14,"F",22,"PP"
42,"M",37,"DM"
123,"M",32,"NL"
49,"F",36,"DO"
121,"F",49,"DS"
47,"M",37,"DM"
47,"M",37,"DM"
59,"M",38,"DO"
50,"M",38,"DM"
10,"F",17,"RM"
36,"M",37,"DM"
16,"M",21,"PP"
41,"F",37,"DM"
22,"F",34,"DO"
45,"F",38,"DM"
23,"F",19,"PE"
,,,"AH"
152,"M",51,"DS"
53,"F",37,"DM"
39,"F",37,"DM"
129,"M",49,"DS"
110,"F",32,"NL"
116,"F",50,"DS"
48,"M",38,"DM"
42,"F",37,"DM"
29,"F",20,"OL"
11,"M",17,"RM"
32,"F",35,"DM"
46,"M",37,"DM"
10,"M",16,"RM"
46,"M",38,"DM"
,,,"AH"
57,"F",37,"DO"
14,"F",22,"PP"
45,"F",36,"DM"
21,"M",20,"OT"
,,,"AH"
44,"M",36,"DO"
227,"M",34,"NL"
45,"M",38,"DM"
43,"M",36,"DM"
48,"M",38,"DM"
,,,"AH"
18,"F",21,"PP"
46,"M",35,"DM"
50,"M",35,"DM"
45,"M",34,"DO"
37,"M",35,"DM"
39,"F",34,"DM"
,,,"SS"
10,"F",15,"RM"
45,"M",33,"DO"
11,"F",18,"RM"
123,"M",47,"DS"
23,"M",18,"PE"
42,"M",33,"DO"
22,"F",20,"PM"
36,"F",35,"DM"
42,"F",35,"DM"
,,,"AH"
188,"F",34,"NL"
134,"F",30,"NL"
44,"F",35,"DM"
48,"M",35,"DM"
55,"M",35,"DM"
,,,"SS"
34,"F",35,"DM"
50,"M",36,"DM"
30,"M",33,"DM"
54,"F",36,"DO"
7,"F",15,"PF"
53,"M",36,"DO"
214,"F",30,"NL"
41,"F",34,"DM"
14,"M",18,"OT"
35,"M",35,"DM"
20,"M",20,"PM"
9,"M",14,"RM"
70,"F",30,"NL"
,,,"SS"
45,"M",35,"DM"
39,"F",35,"DM"
,"M",20,"OT"
17,"F",21,"PP"
54,"M",34,"DO"
43,"M",35,"DM"
42,"F",36,"DM"
26,"F",19,"PM"
64,"M",48,"DS"
12,"M",19,"PM"
50,"F",36,"DM"
24,"F",34,"DM"
48,"F",36,"DM"
,,,
47,"M",37,"DM"
12,"M",16,"RM"
46,"F",36,"DO"
52,"M",36,"DM"
29,"F",35,"DM"
53,"F",33,"DO"
29,"F",34,"DO"
182,"F",,"NL"
40,"M",35,"DM"
51,"M",35,"DO"
157,"M",54,"DS"
43,"F",35,"DM"
46,"M",36,"DM"
24,"M",33,"DM"
13,"F",18,"RM"
44,"F",36,"DM"
8,"F",14,"RM"
11,"M",15,"RM"
45,"M",35,"DM"
58,"M",36,"DO"
113,"M",30,"NL"
42,"F",19,"OL"
45,"F",36,"DM"
45,"M",37,"DM"
125,"M",47,"DS"
184,"F",31,"NL"
24,"F",33,"DM"
134,"F",47,"DS"
16,"F",21,"PP"
35,"F",17,"OL"
40,"F",35,"DM"
49,"M",35,"DM"
129,"F",47,"DS"
44,"F",34,"DM"
,,,"AH"
17,"M",20,"PE"
43,"M",34,"DM"
30,"F",35,"DM"
36,"M",35,"DM"
10,"M",16,"RM"
30,"M",20,"OT"
41,"F",35,"DM"
35,"F",35,"DM"
20,"F",22,"PP"
16,"F",22,"PP"
47,"M",35,"DM"
44,"M",35,"DO"
30,"F",19,"OL"
29,"F",35,"DM"
44,"M",37,"DM"
156,"M",53,"DS"
,,,"AH"
41,"M",36,"DM"
48,"M",,"DO"
50,"M",36,"DM"
47,"F",34,"DM"
41,"F",36,"DM"
10,"F",,"PP"
126,"M",47,"DS"
101,"F",31,"NL"
180,"M",33,"NL"
,,,"CB"
44,"F",35,"DO"
,"M",20,"PM"
49,"M",,"DM"
48,"M",34,"DM"
55,"F",36,"DM"
43,"F",35,"DM"
46,"M",36,"DM"
32,"M",36,"DM"
184,"F",34,"NL"
47,"F",37,"DM"
80,"M",49,"DS"
44,"F",36,"DM"
41,"M",35,"DM"
30,"M",20,"OL"
60,"F",36,"DO"
51,"F",34,"DM"
116,"M",30,"NL"
56,"M",36,"DO"
42,"F",34,"DM"
,,,"AH"
,,,"AH"
,,,
,,,
,,,
,,,
,,,
46,"M",38,"DM"
,"F",23,"PP"
63,"F",36,"DO"
50,"M",36,"DM"
34,"F",36,"DM"
150,"M",54,"DS"
46,"M",38,"DM"
94,"M",49,"DS"
18,"F",23,"PP"
,"M",37,"DM"
28,"M",22,"OL"
66,"F",,"DM"
31,"M",34,"DM"
18,"F",23,"PP"
130,"F",49,"DS"
98,"F",48,"DS"
40,"M",38,"DM"
,,,"AH"
27,"F",35,"DM"
45,"M",35,"DM"
42,"F",36,"DM"
,,,"DS"
49,"F",36,"DM"
48,"F",,"DM"
45,"F",35,"DM"
40,"F",36,"DM"
47,"M",36,"DM"
45,"M",34,"DM"
49,"F",33,"DM"
,,,"AH"
51,"M",37,"DM"
50,"M",37,"DO"
46,"F",36,"DM"
55,"F",36,"DM"
44,"M",,"DM"
27,"M",22,"OL"
49,"M",36,"DM"
44,"M",37,"DM"
17,"F",22,"PP"
21,"M",20,"OT"
25,"M",34,"DM"
42,"M",37,"DM"
42,"F",32,"DM"
9,"F",15,"PF"
44,"F",35,"DM"
50,"F",35,"DO"
46,"F",35,"DM"
40,"F",34,"DM"
20,"M",18,"OT"
53,"M",36,"DM"
44,"F",33,"DM"
52,"F",36,"DO"
26,"F",20,"OL"
35,"F",33,"DO"
44,"F",35,"DM"
20,"F",21,"PP"
196,"F",31,"NL"
49,"M",37,"DM"
,,,"SS"
23,"M",34,"DM"
44,"F",37,"DM"
,,,"AH"
42,"M",35,"DM"
20,"M",34,"DM"
,"M",37,"DO"
31,"M",36,"DM"
131,"M",32,"NL"
,,,
,,,
46,"M",36,"DM"
52,"M",36,"DM"
30,"M",21,"OL"
137,"M",50,"DS"
50,"M",32,"DO"
46,"F",36,"DM"
,,,"CB"
172,"F",30,"NL"
,,,"AH"
21,"F",20,"PP"
22,"M",22,"OT"
45,"F",35,"DM"
151,"M",54,"DS"
,,,"CB"
46,"M",37,"DM"
48,"M",35,"DM"
45,"F",33,"DM"
128,"M",52,"DS"
39,"F",35,"DM"
26,"F",20,"OL"
,,,"SS"
45,"M",35,"DM"
,,,"SS"
49,"M",36,"DM"
17,"F",23,"PP"
41,"F",32,"DM"
118,"M",47,"DS"
118,"F",48,"DS"
45,"F",35,"DM"
55,"F",33,"DO"
,,,"AH"
150,"M",52,"DS"
46,"M",37,"DM"
43,"F",36,"DM"
127,"F",50,"DS"
54,"M",37,"DM"
202,"M",34,"NL"
51,"M",36,"DO"
135,"F",32,"NL"
47,"M",35,"DM"
17,"F",22,"PP"
,,,"CB"
20,"F",33,"DM"
47,"M",35,"DM"
42,"F",36,"DM"
46,"M",35,"DM"
177,"M",33,"NL"
